CAL20CD,CAL20NM
E56000005,Cheshire and Merseyside
E56000007,West Midlands
E56000010,South East London
E56000011,Kent and Medway
E56000012,Surrey and Sussex
E56000013,Thames Valley
E56000014,Peninsula
E56000015,"Somerset, Wiltshire, Avon and Gloucestershire"
E56000016,Wessex
E56000018,Lancashire and South Cumbria
E56000019,Greater Manchester
E56000021,North West and South West London
E56000022,East of England - North
E56000023,East of England - South
E56000024,East Midlands
E56000025,South Yorkshire and Bassetlaw
E56000026,"Humber, Coast and Vale"
E56000027,North Central London
E56000028,North East London
E56000029,Northern
E56000030,West Yorkshire and Harrogate
